age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,remotework,monthlysalary,annualsalary
22,no,unknown,199.64,8,Secundaria,life sciences,1019,2,hombre,94,1,1, laboratory technician ,1,,,6881,1,,15,3,1,1,4,3,2,4,1,1,0,2001,yes,4392.08,52106.04
59,no,travel_rarely,657.8,2,Grado,unknown,1032,3,mujer,69,2,4, manufacturing director ,4,,,21829,3,,13,3,1,0,0,4,3,5,4,3,13726,1964,no,14471.600000000002,171685.80000000002
45,no,unknown,1135.28,11,FP,unknown,1045,4,mujer,90,3,4, manager ,4,married,,5404,3,no,13,3,2,1,26,4,4,9,1,1,0,1978,no,24976.16,296308.08
45,no,travel_rarely,724.96,24,Master,unknown,1049,2,hombre,36,3,1, human resources ,2,,,8318,1,no,16,3,1,0,0,3,3,6,0,4,0,1978,yes,15949.12,189214.56
37,no,travel_rarely,114.08,3,Grado,unknown,2269,4,mujer,35,3,2, healthcare representative ,2,,,13848,3,no,15,3,1,0,8,3,2,4,0,1,4107,1986,yes,2509.7599999999998,29774.88
26,no,unknown,847.32,26,Secundaria,medical,1068,1,mujer,66,2,1, research scientist ,3,,,25265,1,no,13,3,3,2,0,5,3,5,1,3,0,1997,no,18641.04,221150.52000000002
26,no,unknown,176.64,1,FP,medical,2270,1,hombre,59,2,1, laboratory technician ,1,married,,11141,1,no,16,3,1,2,6,2,3,5,1,3,0,1997,yes,3886.0800000000004,46103.04
28,no,unknown,,42,Secundaria,unknown,1136,42,hombre,67,2,1, research scientist ,2,married,,19911,0,no,17,3,1,0,0,2,1,5,0,4,0,1995,yes,,
24,no,unknown,438.84,24,Grado,medical,2271,4,hombre,49,3,1, laboratory technician ,2,single,,6409,8,no,22,4,4,0,6,2,3,4,1,2,3597,1999,no,9654.480000000001,114537.24
30,no,travel_rarely,783.84,10,Grado,marketing,1179,3,hombre,72,2,2, sales executive ,3,married,,2706,1,no,18,3,1,1,0,3,3,10,1,4,0,1993,no,17244.48,204582.24000000002
43,yes,unknown,1262.24,9,Grado,unknown,1188,1,mujer,85,1,2, sales executive ,3,single,,9489,8,no,13,,2,0,7,2,2,4,1,3,0,1980,yes,27769.28,329444.64
30,no,travel_rarely,1222.68,29,Master,life sciences,1211,3,hombre,61,3,2, sales executive ,1,divorced,,13192,8,,19,3,3,3,8,3,3,4,0,3,4115,1993,no,26898.960000000003,319119.48000000004
46,no,travel_rarely,138.0,2,Master,technical degree,1228,4,hombre,60,3,2, manufacturing director ,4,divorced,,17433,2,,11,3,3,1,0,3,2,6,1,4,0,1977,yes,3036.0,36018.0
42,no,non-travel,,2,Doctorado,unknown,1231,4,hombre,79,4,2, human resources ,1,married,,12858,7,no,16,3,1,1,0,3,4,4,0,3,6272,1981,yes,,
25,no,unknown,,10,Master,life sciences,2272,3,hombre,57,3,2, sales executive ,4,single,,20623,0,no,14,3,2,0,5,4,3,4,1,1,0,1998,no,,
27,no,unknown,1073.64,4,FP,unknown,1259,1,hombre,76,3,1, research scientist ,3,divorced,,3208,1,,11,3,2,3,0,2,0,5,0,3,2517,1996,yes,23620.08,280220.04000000004
56,no,travel_rarely,189.52,8,Master,life sciences,1338,4,hombre,99,3,5, manager ,2,single,,4022,6,no,14,3,1,0,36,4,3,7,7,7,0,1967,no,4169.4400000000005,49464.72
41,no,travel_frequently,,1,Grado,marketing,1349,3,mujer,66,3,2, sales executive ,1,,,4297,0,,17,3,4,1,0,2,3,9,1,7,0,1982,yes,,
28,no,unknown,677.12,26,Grado,life sciences,1387,3,hombre,48,2,2, sales executive ,1,married,,24232,1,,11,3,3,1,5,0,3,5,0,4,0,1995,yes,14896.64,176728.32
52,no,travel_frequently,296.24,28,FP,unknown,1401,4,mujer,59,4,4, manufacturing director ,3,married,,9731,2,,11,3,2,1,0,3,2,5,0,2,0,1971,yes,6517.280000000001,77318.64
26,no,travel_rarely,628.36,2,Secundaria,medical,1407,1,hombre,36,2,1, research scientist ,4,single,,4050,0,no,12,3,4,0,5,2,3,4,1,1,3904,1997,yes,13823.92,164001.96
49,yes,travel_frequently,1357.0,28,FP,unknown,1420,1,hombre,97,2,2, laboratory technician ,1,,,22710,3,no,20,4,1,0,20,2,0,4,1,3,0,1974,yes,29854.0,354177.0
34,no,travel_frequently,515.2,1,Master,other,1431,4,hombre,91,3,1, research scientist ,1,,,20284,5,,14,3,3,2,10,2,3,4,1,3,0,1989,yes,11334.400000000001,134467.2
32,no,unknown,,7,Doctorado,marketing,1446,4,hombre,97,3,2, sales executive ,4,,,23343,4,,12,3,3,1,7,3,0,4,0,3,9204,1991,yes,,
33,no,unknown,,7,Grado,medical,1477,4,hombre,54,3,2, sales executive ,1,,,17456,0,no,14,3,1,2,5,2,3,4,0,3,4373,1990,no,,
29,yes,unknown,105.8,13,Grado,unknown,1487,1,mujer,51,3,2, sales executive ,2,single,,17485,5,no,11,,1,0,7,4,1,5,0,0,0,1994,no,2327.6000000000004,27613.800000000003
30,no,unknown,,16,Grado,life sciences,1499,3,hombre,46,3,1, human resources ,3,,,15428,0,,21,4,1,1,6,3,4,5,1,3,2064,1993,no,,
23,no,unknown,466.44,11,Secundaria,life sciences,1533,11,hombre,97,3,2, laboratory technician ,3,single,,24812,0,no,14,3,2,0,5,2,3,4,1,2,0,2000,no,10261.68,121740.84
33,no,unknown,529.0,25,Grado,unknown,1545,4,hombre,44,2,2, manufacturing director ,2,,,24152,1,no,13,3,4,0,5,2,3,5,0,2,0,1990,yes,11638.0,138069.0
35,no,unknown,,28,Master,unknown,1554,2,mujer,98,2,1, sales representative ,3,married,,26204,0,,23,4,1,2,6,5,3,5,4,2,2430,1988,yes,,
38,no,travel_frequently,816.96,10,Master,unknown,1563,3,hombre,71,3,2, human resources ,3,,,14814,3,no,11,3,3,0,10,2,3,6,1,2,0,1985,yes,17973.120000000003,213226.56
28,no,unknown,533.6,27,Grado,unknown,1622,2,mujer,39,1,2, manufacturing director ,1,divorced,,20460,0,,21,4,2,1,6,5,2,5,0,0,4877,1995,yes,11739.2,139269.6
37,no,unknown,617.32,19,Grado,life sciences,1631,3,hombre,85,3,2, manufacturing director ,3,,,26493,3,no,17,3,1,3,0,2,2,4,0,2,0,1986,no,13581.04,161120.52000000002
24,no,unknown,521.64,2,Secundaria,technical degree,1646,1,mujer,32,3,1, research scientist ,4,,,17218,1,,13,3,3,0,6,2,3,6,1,3,3760,1999,no,11476.08,136148.04
36,no,unknown,286.12,7,Grado,unknown,1659,1,hombre,77,3,1, laboratory technician ,2,,,10950,2,,11,3,3,0,0,4,3,4,1,3,2013,1987,yes,6294.64,74677.32
38,no,travel_frequently,136.16,2,Grado,unknown,2273,4,mujer,42,2,1, laboratory technician ,2,,,23826,1,,22,4,2,0,4,3,3,4,3,3,0,1985,no,2995.52,35537.76
53,no,travel_rarely,1283.4,24,Master,medical,1689,2,hombre,48,4,3, healthcare representative ,4,married,,3458,3,no,15,3,3,0,11,2,3,4,1,2,0,1970,no,28234.800000000003,334967.4
37,no,travel_frequently,1175.76,1,Master,unknown,1700,3,hombre,31,1,2, sales executive ,4,,,7677,1,,14,3,3,2,6,2,2,6,1,3,0,1986,yes,25866.72,306873.36
24,no,unknown,534.52,12,Grado,medical,2274,3,hombre,62,4,1, research scientist ,3,married,,17616,1,no,16,3,4,1,5,1,3,5,0,4,0,1999,yes,11759.439999999999,139509.72
29,no,travel_rarely,995.44,9,Master,medical,2275,4,mujer,43,3,1, laboratory technician ,3,,,25412,9,no,17,3,3,1,0,2,3,5,1,2,2974,1994,no,21899.68,259809.84000000003
32,no,travel_rarely,341.32,19,Grado,unknown,1739,4,hombre,80,1,3, sales executive ,3,married,,3840,3,no,13,3,3,1,0,2,1,4,0,2,0,1991,no,7509.04,89084.52
42,no,travel_rarely,786.6,12,Grado,medical,1768,2,hombre,57,3,1, laboratory technician ,2,divorced,,8952,8,no,22,4,2,3,7,6,2,5,0,4,2766,1981,yes,17305.2,205302.6
41,no,unknown,504.16,9,Master,life sciences,1772,3,hombre,94,3,1, laboratory technician ,1,divorced,,20520,1,no,20,4,2,2,5,2,3,5,0,4,0,1982,yes,11091.52,131585.76
44,yes,unknown,394.68,1,FP,unknown,1792,3,hombre,99,3,1, research scientist ,2,,,11092,1,yes,12,3,3,3,0,2,2,5,2,3,0,1979,yes,8682.960000000001,103011.48
28,no,travel_rarely,1086.52,1,Grado,unknown,2276,3,hombre,82,3,1, research scientist ,4,married,,5531,1,no,11,3,3,1,5,6,4,5,0,3,0,1995,yes,23903.44,283581.72
39,no,unknown,1152.76,10,Secundaria,medical,1800,3,hombre,65,3,3, research director ,3,single,,7914,7,,21,4,3,0,0,3,3,4,2,2,0,1984,yes,25360.72,300870.36
40,no,unknown,566.72,2,FP,life sciences,2277,3,mujer,99,3,1, laboratory technician ,1,married,,25605,4,,17,3,4,1,7,5,2,4,0,2,3377,1983,yes,12467.84,147913.92
37,yes,travel_rarely,340.4,10,Master,unknown,2278,4,hombre,58,3,2, manufacturing director ,1,single,,4992,1,,15,3,2,0,10,4,0,10,0,8,4213,1986,yes,7488.800000000001,88844.40000000001
40,no,unknown,1098.48,1,Grado,unknown,1822,3,mujer,52,3,2, healthcare representative ,4,,,9060,4,,17,3,4,1,12,3,3,5,0,3,6513,1983,yes,24166.56,286703.28
26,no,travel_rarely,526.24,10,Grado,unknown,2279,3,hombre,46,3,2, sales executive ,4,,,9125,1,no,13,3,1,0,0,4,3,5,1,2,0,1997,no,11577.28,137348.64
42,no,unknown,326.6,10,Master,technical degree,1854,3,hombre,38,3,1, research scientist ,3,married,,6161,3,no,22,4,2,2,10,1,2,6,3,3,0,1981,no,7185.200000000001,85242.6
34,no,travel_rarely,1361.6,4,Grado,unknown,1882,3,hombre,64,3,3, sales executive ,4,married,,24444,2,yes,13,3,4,3,9,3,3,5,1,0,0,1989,yes,29955.200000000004,355377.60000000003
37,no,travel_rarely,720.36,7,Master,medical,1885,4,hombre,78,3,2, research scientist ,1,,,13588,5,,22,4,3,1,16,2,3,5,0,4,4284,1986,yes,15847.92,188013.96
27,no,unknown,1245.68,2,Master,technical degree,1931,2,hombre,41,3,1, research scientist ,2,,,6073,1,no,11,,3,1,6,3,2,5,1,2,2226,1996,no,27404.960000000003,325122.48000000004
35,no,travel_rarely,627.44,18,Master,unknown,1945,2,hombre,71,3,2, sales executive ,1,,,15975,0,,16,3,4,1,0,2,1,5,0,4,5561,1988,yes,13803.68,163761.84000000003
28,no,non-travel,1014.76,16,Grado,medical,1947,3,hombre,49,3,1, research scientist ,3,single,,2122,1,no,14,3,3,0,5,3,2,5,1,4,2144,1995,yes,22324.72,264852.36
29,no,unknown,125.12,1,Grado,life sciences,1954,1,hombre,89,3,2, healthcare representative ,1,married,,6225,0,no,12,3,1,1,6,5,2,5,0,2,5373,1994,no,2752.6400000000003,32656.32
54,no,unknown,142.6,9,FP,unknown,1969,1,mujer,67,3,2, research scientist ,3,married,,22474,3,no,11,3,3,2,9,6,2,4,2,3,2897,1969,no,3137.2,37218.6
24,no,travel_rarely,709.32,41,FP,life sciences,1981,41,hombre,45,2,2, healthcare representative ,3,single,,14120,1,no,12,3,2,0,4,2,2,4,1,2,0,1999,yes,15605.04,185132.52000000002
38,no,travel_frequently,467.36,6,Master,unknown,1997,1,hombre,72,2,2, manufacturing director ,3,married,,14284,2,no,11,3,4,1,10,1,3,8,7,7,5321,1985,no,10281.92,121980.96
42,no,unknown,512.44,18,Master,unknown,1998,4,hombre,35,3,2, research scientist ,1,,,11189,6,,17,3,3,1,9,3,2,4,1,2,5410,1981,yes,11273.68,133746.84000000003
41,no,unknown,590.64,1,Grado,life sciences,1999,4,hombre,76,3,1, research scientist ,4,,,21412,3,no,22,,1,1,0,3,3,5,1,0,2782,1982,yes,12994.08,154157.04
25,no,travel_rarely,1271.44,8,FP,unknown,2018,1,mujer,85,3,2, sales executive ,3,,,13684,0,yes,22,4,2,1,6,3,2,5,0,4,0,1998,yes,27971.68,331845.84
44,no,unknown,954.04,1,Grado,medical,2280,2,hombre,42,3,1, research scientist ,4,single,,13422,6,yes,12,3,3,0,6,2,3,4,1,2,0,1979,yes,20988.88,249004.44000000003
50,yes,unknown,807.76,1,Master,unknown,2044,2,hombre,94,3,2, sales executive ,3,,,14255,7,no,12,3,4,2,12,3,0,6,0,1,0,1973,yes,17770.72,210825.36
36,no,unknown,1030.4,11,Master,marketing,2281,2,mujer,100,2,2, sales executive ,4,married,,14369,4,no,13,3,1,1,8,2,2,6,0,0,0,1987,no,22668.800000000003,268934.4
45,no,unknown,344.08,20,Grado,unknown,2046,4,mujer,50,3,2, sales executive ,3,,,23333,8,no,15,3,3,0,0,3,3,5,0,1,4850,1978,yes,7569.760000000001,89804.88
40,no,unknown,1098.48,2,Master,unknown,2282,3,mujer,98,3,1, research scientist ,3,married,,12549,2,,14,3,2,3,20,2,3,5,0,2,2001,1983,yes,24166.56,286703.28
35,no,travel_rarely,264.04,1,Master,unknown,2052,3,mujer,62,1,1, research scientist ,4,married,,8952,1,no,12,3,4,1,4,5,3,4,1,1,0,1988,yes,5808.88,68914.44
29,no,travel_rarely,,13,FP,other,2053,4,hombre,46,2,2, laboratory technician ,2,,,23679,4,,13,3,1,1,10,2,3,4,0,3,0,1994,no,,
34,no,unknown,,8,Grado,unknown,2068,2,hombre,82,4,2, laboratory technician ,3,,,10228,2,no,12,3,1,0,0,3,4,4,1,2,4404,1989,yes,,
27,no,travel_rarely,543.72,2,Secundaria,unknown,7,1,hombre,40,3,1, laboratory technician ,2,married,,16632,9,no,12,3,4,1,6,3,3,2,2,2,0,1996,no,11961.84,141910.92
31,no,unknown,616.4,26,Secundaria,unknown,16,1,hombre,64,3,1, research scientist ,3,divorced,,15170,1,,17,3,4,1,5,1,2,5,4,3,0,1992,yes,13560.8,160880.4
34,no,travel_rarely,1238.32,38,FP,unknown,18,2,hombre,93,3,1, laboratory technician ,4,divorced,,8758,0,,11,3,3,1,3,2,3,2,1,2,0,1989,yes,27243.040000000005,323201.52
28,yes,travel_rarely,94.76,24,Grado,life sciences,19,3,hombre,50,2,1, laboratory technician ,3,single,,12947,5,yes,14,3,2,0,6,4,3,4,0,3,0,1995,yes,2084.7200000000003,24732.36
32,no,travel_rarely,307.28,5,FP,unknown,21,1,hombre,80,4,1, research scientist ,2,divorced,,15053,0,yes,12,3,4,2,7,5,2,6,0,5,0,1991,yes,6760.160000000001,80200.08
38,no,unknown,341.32,2,Grado,life sciences,24,4,hombre,45,3,1, research scientist ,4,single,,4306,5,yes,11,3,3,0,6,3,3,3,1,2,3944,1985,yes,7509.04,89084.52
24,no,unknown,619.16,11,FP,unknown,26,1,mujer,96,4,2, manufacturing director ,3,,,8232,0,no,18,3,4,1,5,5,2,4,1,3,0,1999,yes,13621.520000000002,161600.76
34,yes,unknown,643.08,6,Secundaria,unknown,31,2,hombre,83,3,1, research scientist ,1,single,,17102,2,no,11,3,3,0,0,2,3,4,1,3,2960,1989,yes,14147.76,167843.88
32,yes,travel_frequently,,16,Secundaria,unknown,33,2,mujer,72,1,1, research scientist ,1,,,4681,1,,22,,2,0,0,5,3,10,6,7,0,1991,no,,
46,no,travel_rarely,648.6,2,Master,marketing,38,2,mujer,83,3,5, manager ,1,single,,22822,3,,12,3,4,0,22,2,2,2,2,1,18947,1977,no,14269.2,169284.6
44,no,unknown,1342.28,10,Master,other,40,4,hombre,41,3,2, healthcare representative ,4,married,,19121,2,,13,3,4,0,0,5,4,4,1,3,6465,1979,no,29530.16,350335.08
50,yes,travel_rarely,,3,FP,unknown,47,1,hombre,86,2,1, sales representative ,3,married,,3810,1,,14,3,3,0,3,2,3,3,0,2,2683,1973,yes,,
35,no,unknown,818.8,2,Grado,marketing,49,4,mujer,97,3,1, sales representative ,4,married,,9687,1,no,13,3,1,0,2,3,3,2,2,2,2014,1988,yes,18013.600000000002,213706.80000000002
28,yes,unknown,1319.28,5,Master,unknown,65,3,hombre,50,3,1, laboratory technician ,3,single,,11179,1,yes,13,,3,0,2,3,2,2,2,2,3441,1995,yes,29024.16,344332.08
26,no,unknown,1327.56,22,Grado,unknown,72,22,mujer,47,2,2, sales executive ,4,married,,21436,7,yes,19,3,3,1,5,2,2,2,0,0,0,1997,no,29206.32,346493.16
35,no,travel_rarely,1050.64,31,Master,unknown,2283,3,mujer,30,3,1, laboratory technician ,1,,,16002,3,yes,15,,3,1,4,3,3,2,2,2,0,1988,no,23114.08,274217.04000000004
35,no,unknown,610.88,31,Grado,medical,88,2,hombre,79,3,1, research scientist ,1,married,,5868,4,no,13,3,4,1,5,2,2,3,1,2,0,1988,yes,13439.36,159439.68
37,no,travel_rarely,365.24,20,Master,medical,102,1,hombre,30,3,3, research director ,3,,,25258,4,,13,,1,0,0,3,4,5,0,2,13664,1986,yes,8035.280000000001,95327.64
46,no,travel_rarely,,38,FP,medical,103,38,hombre,80,3,2, human resources ,2,divorced,,10425,8,yes,22,4,4,1,0,2,3,4,0,2,5021,1977,yes,,
34,no,travel_rarely,1060.76,1,FP,medical,110,1,hombre,94,3,2, manufacturing director ,2,married,,17736,1,no,15,3,3,0,0,2,3,5,1,3,0,1989,yes,23336.72,276858.36
51,no,travel_rarely,397.44,9,Master,unknown,116,4,hombre,96,3,1, laboratory technician ,4,,,18725,3,,23,4,2,2,10,4,3,4,0,3,0,1972,yes,8743.68,103731.84
24,no,travel_rarely,1244.76,3,FP,other,128,1,mujer,33,3,2, sales executive ,3,married,,17519,0,no,21,4,1,1,4,2,2,3,0,2,0,1999,yes,27384.72,324882.36
44,no,unknown,449.88,23,Grado,unknown,132,2,hombre,64,3,2, laboratory technician ,2,married,,25043,4,,12,3,3,1,0,3,4,3,1,2,0,1979,yes,9897.36,117418.68
37,yes,travel_rarely,742.44,6,Master,human resources,133,3,hombre,63,3,1, human resources ,1,divorced,,23648,4,,22,4,4,0,0,3,3,3,0,2,0,1986,yes,16333.68,193776.84000000003
59,no,non-travel,1306.4,2,Master,human resources,2284,3,mujer,32,2,5, manager ,4,,,21922,9,no,21,4,4,1,0,3,3,3,2,2,18844,1964,no,28740.800000000003,340970.4
25,no,unknown,1177.6,7,Secundaria,unknown,143,4,hombre,64,2,1, research scientist ,4,married,,26897,1,no,11,3,3,2,0,2,0,2,2,1,0,1998,yes,25907.200000000004,307353.60000000003
43,no,unknown,880.44,26,Grado,medical,171,2,mujer,72,4,1, research scientist ,3,single,,16090,4,,12,3,4,0,0,2,3,3,1,2,4739,1980,yes,19369.68,229794.84000000003
50,no,travel_frequently,744.28,12,Grado,unknown,2285,3,mujer,77,3,3, sales executive ,4,single,,6645,4,no,11,3,4,0,16,3,0,2,2,1,0,1973,no,16374.160000000002,194257.08000000002
31,yes,travel_rarely,498.64,20,Grado,unknown,175,2,mujer,71,1,2, sales executive ,3,,,24788,3,yes,11,3,3,1,4,2,3,2,2,2,0,1992,yes,10970.080000000002,130145.04000000001
36,no,unknown,198.72,6,FP,medical,178,2,hombre,84,3,2, manufacturing director ,2,divorced,,2819,6,no,20,4,4,2,7,0,3,3,0,1,0,1987,no,4371.84,51865.92
51,yes,travel_frequently,1058.0,16,Master,unknown,179,1,hombre,53,1,3, manufacturing director ,4,,,25150,2,,15,3,4,0,18,2,3,4,0,3,10650,1972,no,23276.0,276138.0
25,no,unknown,,28,Grado,life sciences,2286,1,hombre,41,2,2, sales executive ,3,,,24835,2,,18,3,4,0,0,3,3,2,2,2,0,1998,no,,
38,no,travel_rarely,334.88,3,Doctorado,technical degree,193,4,mujer,32,3,2, research scientist ,3,,,2302,3,yes,20,4,2,0,19,2,0,3,2,2,4317,1985,no,7367.36,87403.68
30,no,travel_rarely,184.92,5,Grado,technical degree,197,4,mujer,84,3,1, research scientist ,1,divorced,,10415,5,no,14,,4,1,8,3,3,3,2,2,0,1993,yes,4068.2400000000002,48264.12
22,no,unknown,1155.52,36,Secundaria,medical,2287,36,hombre,80,3,1, research scientist ,4,married,,11992,1,no,24,4,1,2,2,6,3,2,2,2,0,2001,yes,25421.44,301590.72
27,no,non-travel,635.72,9,Grado,medical,218,4,hombre,57,3,1, research scientist ,2,,,5970,6,,18,3,4,1,0,1,1,2,2,2,2024,1996,yes,13985.84,165922.92
28,no,unknown,404.8,21,Grado,medical,221,3,hombre,42,3,1, research scientist ,4,married,,6672,1,no,11,3,3,1,5,2,1,5,0,2,0,1995,yes,8905.6,105652.8
27,no,unknown,1064.44,17,Grado,unknown,233,3,hombre,51,3,1, research scientist ,2,,,13364,0,,16,3,4,1,6,3,2,5,1,1,3058,1996,yes,23417.68,277818.84
56,no,travel_rarely,655.96,8,Grado,life sciences,241,3,mujer,67,3,1, research scientist ,1,divorced,,13939,4,,18,3,3,1,0,3,0,2,2,2,0,1967,yes,14431.12,171205.56
38,no,travel_rarely,,9,FP,unknown,245,3,mujer,75,3,1, laboratory technician ,4,single,,6319,1,,12,,3,0,0,3,0,2,2,1,0,1985,yes,,
31,no,travel_rarely,128.8,12,Secundaria,medical,246,3,mujer,95,3,1, research scientist ,4,,,6984,8,,23,4,3,1,7,0,3,4,0,2,3929,1992,yes,2833.6000000000004,33616.8
34,no,travel_rarely,578.68,27,FP,medical,247,4,mujer,95,3,1, research scientist ,2,,,5711,2,no,15,3,4,0,9,3,3,3,1,2,0,1989,yes,12730.960000000001,151035.48
50,no,unknown,301.76,1,Grado,unknown,249,3,hombre,86,2,1, laboratory technician ,3,,,3425,2,,15,3,4,1,0,2,2,3,0,2,0,1973,no,6638.719999999999,78759.36
53,no,unknown,997.28,13,FP,unknown,250,4,mujer,64,4,2, manufacturing director ,1,divorced,,26250,1,no,11,3,3,2,5,3,3,4,1,3,0,1970,no,21940.160000000003,260290.08000000002
35,no,travel_frequently,,24,Grado,medical,269,2,mujer,37,3,2, laboratory technician ,2,single,,15986,5,,11,3,4,0,0,5,3,6,1,2,4425,1988,yes,,
27,no,travel_frequently,434.24,1,Secundaria,unknown,2288,3,hombre,60,2,2, manufacturing director ,1,married,,9679,5,,19,3,3,1,0,1,3,2,2,0,0,1996,no,9553.28,113336.64
40,no,unknown,832.6,38,FP,unknown,2289,3,hombre,99,3,2, laboratory technician ,4,married,,16523,8,,15,3,3,1,0,2,4,7,3,7,0,1983,yes,18317.2,217308.6
22,no,unknown,1045.12,22,Grado,life sciences,2290,22,hombre,60,4,1, research scientist ,2,,,12392,1,,16,3,1,1,4,2,2,4,2,2,2328,2001,no,22992.640000000003,272776.32
40,no,unknown,1058.92,10,Doctorado,life sciences,287,4,hombre,63,2,2, healthcare representative ,4,,,14242,9,no,14,3,4,1,5,5,1,3,0,2,0,1983,yes,23296.24,276378.12
46,no,unknown,592.48,1,Master,unknown,288,4,hombre,64,3,3, healthcare representative ,1,,,12368,7,no,16,3,3,1,17,3,3,4,0,3,0,1977,yes,13034.560000000001,154637.28
30,yes,unknown,924.6,3,Grado,technical degree,297,4,mujer,88,3,1, research scientist ,1,,,8556,5,yes,11,3,3,0,8,5,3,5,0,4,2657,1993,yes,20341.2,241320.6
29,yes,unknown,912.64,1,Grado,unknown,2291,3,hombre,85,3,1, research scientist ,3,single,,19757,0,,14,3,4,0,0,1,2,6,1,5,0,1994,no,20078.079999999998,238199.04
54,no,unknown,1055.24,3,Grado,unknown,303,4,mujer,52,3,2, sales executive ,1,married,,17011,2,,14,3,4,1,16,4,3,6,0,5,5940,1969,no,23215.28,275417.64
33,no,travel_rarely,135.24,4,Master,unknown,305,3,mujer,47,2,1, research scientist ,2,married,,13248,6,,21,4,4,0,0,3,3,3,1,1,2622,1990,yes,2975.28,35297.64
52,no,travel_rarely,1217.16,2,Grado,unknown,316,3,mujer,89,2,1, laboratory technician ,4,single,,3300,7,,15,3,2,0,0,3,2,2,2,2,3212,1971,yes,26777.52,317678.76
59,no,travel_rarely,752.56,6,FP,medical,2292,2,hombre,64,3,1, human resources ,3,married,,25657,8,,17,3,4,0,0,2,2,2,2,2,0,1964,no,16556.32,196418.16
32,yes,unknown,473.8,1,Grado,unknown,2293,4,hombre,62,2,1, laboratory technician ,3,single,,9571,0,,14,3,4,0,4,2,1,3,1,2,0,1991,yes,10423.6,123661.8
39,no,unknown,1316.52,24,Master,medical,332,24,mujer,96,3,1, laboratory technician ,3,divorced,,15417,7,no,14,3,3,3,7,1,3,3,1,2,0,1984,no,28963.44,343611.72
32,no,non-travel,897.92,26,Master,marketing,2294,3,hombre,100,3,2, sales executive ,4,,,12069,0,no,18,3,1,0,4,2,3,3,2,2,0,1991,yes,19754.24,234357.12000000002
31,no,unknown,1220.84,3,Master,medical,337,2,hombre,73,3,3, research director ,3,divorced,,13523,9,no,12,3,1,1,0,3,3,2,2,2,0,1992,yes,26858.480000000003,318639.24000000005
33,no,travel_rarely,765.44,5,Master,life sciences,338,3,mujer,63,2,1, research scientist ,4,married,,14776,1,,13,3,3,1,2,2,2,2,0,2,2911,1990,yes,16839.68,199779.84000000003
45,no,unknown,1103.08,23,Master,life sciences,341,1,hombre,77,4,2, manufacturing director ,3,,,5118,4,,17,3,4,1,9,1,3,3,0,2,0,1978,yes,24267.760000000002,287903.88000000006
42,no,unknown,842.72,17,FP,unknown,347,4,mujer,82,4,2, research scientist ,1,single,,23016,3,yes,13,3,3,0,0,1,3,3,0,2,0,1981,yes,18539.84,219949.92
29,no,unknown,1147.24,19,FP,marketing,349,4,hombre,45,3,2, sales executive ,4,divorced,,10732,2,no,14,3,4,1,0,2,3,3,0,2,6931,1994,no,25239.28,299429.64
25,no,travel_rarely,630.2,1,Grado,unknown,350,1,mujer,62,3,2, manufacturing director ,3,married,,7505,0,no,12,3,4,2,5,3,3,4,1,2,0,1998,no,13864.400000000001,164482.2
32,no,unknown,117.76,2,Secundaria,unknown,362,4,hombre,84,2,2, laboratory technician ,1,,,19737,4,no,13,3,4,0,9,5,3,6,0,4,2176,1991,no,2590.7200000000003,30735.36
28,no,travel_rarely,1065.36,9,Grado,unknown,2295,4,hombre,94,3,1, research scientist ,4,married,,2613,1,no,23,4,4,1,0,3,0,5,0,4,0,1995,yes,23437.920000000002,278058.96
21,no,travel_rarely,916.32,3,FP,unknown,379,4,hombre,100,2,1, research scientist ,3,single,,10531,1,no,17,3,1,0,0,4,4,3,1,0,3230,2002,no,20159.04,239159.52000000002
37,no,non-travel,669.76,1,Master,medical,380,1,mujer,80,3,3, research director ,4,divorced,,11677,2,yes,18,3,1,2,0,2,3,5,0,2,0,1986,no,14734.72,174807.36
38,no,travel_rarely,632.96,23,Master,life sciences,393,4,hombre,82,3,2, healthcare representative ,4,,,18899,9,,14,3,2,1,0,2,3,2,1,2,0,1985,no,13925.12,165202.56
26,yes,travel_rarely,1333.08,16,Master,medical,394,1,hombre,45,3,1, laboratory technician ,2,divorced,,14180,2,yes,13,3,4,1,0,2,3,3,0,2,0,1997,no,29327.760000000002,347933.88000000006
49,no,unknown,585.12,10,Master,life sciences,396,3,mujer,64,3,5, research director ,1,single,,25594,9,yes,11,3,4,0,0,4,3,3,1,2,18665,1974,yes,12872.64,152716.32
31,no,travel_frequently,408.48,5,Grado,unknown,2296,4,mujer,84,3,1, sales representative ,2,divorced,,3909,1,,11,3,3,1,2,5,2,2,2,2,2789,1992,yes,8986.560000000001,106613.28
37,no,travel_frequently,817.88,9,Grado,medical,403,2,hombre,53,3,1, research scientist ,4,married,,11411,1,,12,3,3,3,0,3,2,4,1,2,0,1986,no,17993.36,213466.68
